Date,High,Low,Open,Close,Volume,Adj Close
2006-10-02,2.7096428871154785,2.6535708904266357,2.682142972946167,2.6735711097717285,712639200,2.299010753631592
2006-10-03,2.676785945892334,2.613929033279419,2.6589291095733643,2.645714044570923,790708800,2.275057077407837
2006-10-04,2.694999933242798,2.6128571033477783,2.6464290618896484,2.692142963409424,829082800,2.314981460571289
2006-10-05,2.7200000286102295,2.6475000381469727,2.6617860794067383,2.672499895095825,683883200,2.2980892658233643
2006-10-06,2.680000066757202,2.636070966720581,2.6578569412231445,2.6507139205932617,466958800,2.2793567180633545
2006-10-09,2.681428909301758,2.626070976257324,2.635714054107666,2.6653571128845215,438222400,2.2919483184814453
2006-10-10,2.6635708808898926,2.609999895095825,2.6621429920196533,2.636070966720581,531588400,2.2667646408081055
2006-10-11,2.6421430110931396,2.5928568840026855,2.622143030166626,2.615356922149658,571855200,2.248952865600586
2006-10-12,2.692500114440918,2.628571033477783,2.6289288997650146,2.687856912612915,592855200,2.3112952709198
2006-10-13,2.745713949203491,2.669286012649536,2.70107102394104,2.679286003112793,684196800,2.3039262294769287
2006-10-16,2.7100000381469727,2.6710710525512695,2.685357093811035,2.692857027053833,508692800,2.3155951499938965
2006-10-17,2.688214063644409,2.6442859172821045,2.680000066757202,2.6532139778137207,480925200,2.2815065383911133
2006-10-18,2.691786050796509,2.6396429538726807,2.669642925262451,2.6617860794067383,1133907600,2.288877487182617
2006-10-19,2.8553569316864014,2.791429042816162,2.830713987350464,2.821070909500122,1512977200,2.425847291946411
2006-10-20,2.856786012649536,2.809643030166626,2.820357084274292,2.8553569316864014,639413600,2.455329656600952
2006-10-23,2.924999952316284,2.8482139110565186,2.856786012649536,2.9092860221862793,832507200,2.5017035007476807
2006-10-24,2.9171431064605713,2.864285945892334,2.9003570079803467,2.8946430683135986,463212400,2.48911190032959
2006-10-25,2.9285709857940674,2.893213987350464,2.9053568840026855,2.9171431064605713,485214800,2.508460283279419
2006-10-26,2.950000047683716,2.8975000381469727,2.924999952316284,2.935357093811035,432756800,2.5241219997406006
2006-10-27,2.944643020629883,2.8575000762939453,2.919642925262451,2.871786117553711,594966400,2.4694573879241943
2006-10-30,2.8892860412597656,2.8392860889434814,2.856786012649536,2.872143030166626,499917600,2.46976375579834
2006-10-31,2.9171431064605713,2.865356922149658,2.9089291095733643,2.895714044570923,501474400,2.490032911300659
2006-11-01,2.9064290523529053,2.7985711097717285,2.8964290618896484,2.8271429538726807,611192400,2.431067943572998
2006-11-02,2.8328568935394287,2.8035709857940674,2.818571090698242,2.820713996887207,465483200,2.4255404472351074
2006-11-03,2.8403570652008057,2.7782139778137207,2.8342859745025635,2.7960710525512695,431888800,2.4043493270874023
2006-11-06,2.859286069869995,2.8010709285736084,2.819643020629883,2.8467860221862793,434576800,2.4479594230651855
2006-11-07,2.892857074737549,2.861785888671875,2.87321400642395,2.875356912612915,525932400,2.4725277423858643
2006-11-08,2.953213930130005,2.8532140254974365,2.8578569889068604,2.944643020629883,690916800,2.53210711479187
2006-11-09,3.0246429443359375,2.932857036590576,2.960714101791382,2.976428985595703,923053600,2.5594401359558105
2006-11-10,2.9857139587402344,2.9464290142059326,2.983928918838501,2.9685709476470947,373864400,2.5526821613311768
2006-11-13,3.016071081161499,2.9514288902282715,2.9721429347991943,3.012500047683716,450674000,2.590456485748291
